group	label
673	Adjusted AIC penalty = 1.4214
674	Adjusted AIC penalty = 1.4214
675	Adjusted AIC penalty = 1.4214
676	Adjusted AIC penalty = 1.4214
677	Adjusted AIC penalty = 1.4214
678	Adjusted AIC penalty = 1.4214
679	Adjusted AIC penalty = 1.4214
680	Adjusted AIC penalty = 1.4214
681	Adjusted AIC penalty = 1.4214
682	Adjusted AIC penalty = 1.4214
683	Adjusted AIC penalty = 1.4214
684	Adjusted AIC penalty = 1.4214
685	Adjusted AIC penalty = 1.4214
686	Adjusted AIC penalty = 1.4214
687	Adjusted AIC penalty = 1.4214
688	Adjusted AIC penalty = 1.4214
689	Adjusted AIC penalty = 1.4214
690	Adjusted AIC penalty = 1.4214
691	Adjusted AIC penalty = 1.4214
692	Adjusted AIC penalty = 1.4214
693	Adjusted AIC penalty = 1.4214
694	Adjusted AIC penalty = 1.4214
695	Adjusted AIC penalty = 1.4214
696	Adjusted AIC penalty = 1.4214
697	Adjusted AIC penalty = 1.4214
698	Adjusted AIC penalty = 1.4214
